,Domain Name,Domain Type,Agency,City,State
1623,PEABODY-MA.GOV,City,Non-Federal Agency,Peabody,MA
1624,PEABODYMA.GOV,City,Non-Federal Agency,PEABODY,MA
1627,PEMBROKE-MA.GOV,City,Non-Federal Agency,Pembroke,MA
1640,PHILLIPSTON-MA.GOV,City,Non-Federal Agency,Phillipston,MA
1669,PLYMOUTH-MA.GOV,City,Non-Federal Agency,Plymouth,MA
1716,QUINCYMA.GOV,City,Non-Federal Agency,Quincy,MA
1721,RANDOLPH-MA.GOV,City,Non-Federal Agency,Randolph,MA
1729,READINGMA.GOV,City,Non-Federal Agency,READING,MA
1777,ROCKLAND-MA.GOV,City,Non-Federal Agency,Rockland,MA
1780,ROCKPORTMA.GOV,City,Non-Federal Agency,Rockport,MA
1801,ROWE-MA.GOV,City,Non-Federal Agency,Rowe,MA
1804,ROYALSTON-MA.GOV,City,Non-Federal Agency,Royalston,MA
1821,SALISBURYMA.GOV,City,Non-Federal Agency,Salisbury,MA
1843,SAUGUS-MA.GOV,City,Non-Federal Agency,Saugus,MA
1851,SCITUATEMA.GOV,City,Non-Federal Agency,Scituate,MA
1864,SEEKONK-MA.GOV,City,Non-Federal Agency,Seekonk,MA
1874,SHEFFIELDMA.GOV,City,Non-Federal Agency,Sheffield,MA
1877,SHIRLEY-MA.GOV,City,Non-Federal Agency,Shirley,MA
1884,SHREWSBURYMA.GOV,City,Non-Federal Agency,Shrewsbury,MA
1910,SOMERVILLEMA.GOV,City,Non-Federal Agency,Somerville,MA
1922,SOUTHHADLEYMA.GOV,City,Non-Federal Agency,South Hadley,MA
1930,SPENCERMA.GOV,City,Non-Federal Agency,Spencer,MA
1936,SPRINGFIELD-MA.GOV,City,Non-Federal Agency,Springfield,MA
1938,SPRINGFIELDMA.GOV,City,Non-Federal Agency,Springfield,MA
1957,STERLING-MA.GOV,City,Non-Federal Agency,Sterling,MA
1967,STONEHAM-MA.GOV,City,Non-Federal Agency,Stoneham,MA
1975,SUDBURY-MA.GOV,City,Non-Federal Agency,Sudbury,MA
2002,TAUNTON-MA.GOV,City,Non-Federal Agency,Taunton,MA
2023,TISBURYMA.GOV,City,Non-Federal Agency,Tisbury,MA
2025,TOLLAND-MA.GOV,City,Non-Federal Agency,Tolland,MA
2029,TOPSFIELD-MA.GOV,City,Non-Federal Agency,Topsfield,MA
