,Domain Name,Domain Type,Agency,City,State
17,AFTONWYOMING.GOV,City,Non-Federal Agency,AFTON,WY
313,CASPERWY.GOV,City,Non-Federal Agency,Casper,WY
396,CITYOFCODY-WY.GOV,City,Non-Federal Agency,Cody,WY
501,CITYOFWORLANDWY.GOV,City,Non-Federal Agency,Worland,WY
874,GILLETTEWY.GOV,City,Non-Federal Agency,Gillette,WY
1372,MILLSWY.GOV,City,Non-Federal Agency,Mills,WY
1647,PINEBLUFFSWY.GOV,City,Non-Federal Agency,Pine Bluffs,WY
1768,RIVERTONWY.GOV,City,Non-Federal Agency,Riverton,WY
2033,TORRINGTONWY.GOV,City,Non-Federal Agency,Torrington,WY
