,Domain Name,Domain Type,Agency,City,State
726,ELKOCITYNV.GOV,City,Non-Federal Agency,Elko,NV
773,FALLONNEVADA.GOV,City,Non-Federal Agency,Fallon,NV
860,GARDNERVILLE-NV.GOV,City,Non-Federal Agency,Gardnerville,NV
988,HENDERSONNEVADA.GOV,City,Non-Federal Agency,Henderson,NV
989,HENDERSONNV.GOV,City,Non-Federal Agency,Henderson,NV
1160,LASVEGASNEVADA.GOV,City,Non-Federal Agency,Las Vegas,NV
1342,MESQUITENV.GOV,City,Non-Federal Agency,Mesquite,NV
1741,RENO.GOV,City,Non-Federal Agency,Reno,NV
1742,RENONV.GOV,City,Non-Federal Agency,Reno,NV
