,Domain Name,Domain Type,Agency,City,State
847,FULSHEARTEXAS.GOV,City,Non-Federal Agency,Fulshear,TX
857,GALVESTONTX.GOV,City,Non-Federal Agency,Galveston,TX
861,GARLANDTX.GOV,City,Non-Federal Agency,Garland,TX
870,GEORGETOWNTX.GOV,City,Non-Federal Agency,Georgetown,TX
880,GLENNHEIGHTSTX.GOV,City,Non-Federal Agency,Glenn Heights,TX
887,GODLEYTX.GOV,City,Non-Federal Agency,Godley,TX
908,GRAPEVINETEXAS.GOV,City,Non-Federal Agency,Grapevine,TX
909,GRAPEVINETX.GOV,City,Non-Federal Agency,Grapevine,TX
917,GREENHOUSTONTX.GOV,City,Non-Federal Agency,Houston,TX
925,GREYFOREST-TX.GOV,City,Non-Federal Agency,Grey Forest,TX
937,GUNTERTX.GOV,City,Non-Federal Agency,Gunter,TX
985,HEDWIGTX.GOV,City,Non-Federal Agency,Houston,TX
987,HELOTES-TX.GOV,City,Non-Federal Agency,Helotes,TX
992,HEREFORD-TX.GOV,City,Non-Federal Agency,Hereford,TX
997,HICKORYCREEK-TX.GOV,City,Non-Federal Agency,Hickory Creek,TX
1017,HOLLYWOODPARK-TX.GOV,City,Non-Federal Agency,Hollywood Park,TX
1020,HONDO-TX.GOV,City,Non-Federal Agency,Hondo,TX
1031,HORSESHOE-BAY-TX.GOV,City,Non-Federal Agency,Horseshoe Bay,TX
1033,HOUSTONTX.GOV,City,Non-Federal Agency,Houston,TX
1039,HUMBLETX.GOV,City,Non-Federal Agency,Humble,TX
1045,HUNTSVILLETX.GOV,City,Non-Federal Agency,Huntsville,TX
1048,HURSTTX.GOV,City,Non-Federal Agency,Hurst,TX
1049,HUTTOTX.GOV,City,Non-Federal Agency,Hutto,TX
1064,INGLESIDETX.GOV,City,Non-Federal Agency,Ingleside,TX
1077,JACINTOCITY-TX.GOV,City,Non-Federal Agency,Jacinto City,TX
1105,KEMAH-TX.GOV,City,Non-Federal Agency,Kemah,TX
1110,KERRVILLETX.GOV,City,Non-Federal Agency,Kerrville,TX
1111,KILLEENTEXAS.GOV,City,Non-Federal Agency,Killeen,TX
1138,LAKEJACKSON-TX.GOV,City,Non-Federal Agency,Lake Jackson,TX
1139,LAKEJACKSONTX.GOV,City,Non-Federal Agency,Lake Jackson,TX
1150,LAKEWAY-TX.GOV,City,Non-Federal Agency,Lakeway,TX
1157,LAPORTETX.GOV,City,Non-Federal Agency,La Porte,TX
1158,LAREDOTEXAS.GOV,City,Non-Federal Agency,Laredo,TX
1166,LAVERNIA-TX.GOV,City,Non-Federal Agency,La Vernia,TX
1172,LEAGUECITY-TX.GOV,City,Non-Federal Agency,League City,TX
1173,LEAGUECITYTX.GOV,City,Non-Federal Agency,League City,TX
1174,LEANDERTX.GOV,City,Non-Federal Agency,Leander,TX
1189,LEONVALLEYTEXAS.GOV,City,Non-Federal Agency,Leon Valley,TX
1198,LIBERTYHILLTX.GOV,City,Non-Federal Agency,Liberty Hill,TX
1206,LINDALE-TX.GOV,City,Non-Federal Agency,Lindale,TX
1207,LINDALETX.GOV,City,Non-Federal Agency,Lindale,TX
1225,LONEOAKTX.GOV,City,Non-Federal Agency,LONE OAK,TX
1233,LONGVIEWTEXAS.GOV,City,Non-Federal Agency,Longview,TX
1234,LONGVIEWTX.GOV,City,Non-Federal Agency,Longview,TX
1235,LORENATX.GOV,City,Non-Federal Agency,Lorena,TX
1240,LOTT-TX.GOV,City,Non-Federal Agency,Lott,TX
1252,LUBBOCKTX.GOV,City,Non-Federal Agency,Lubbock,TX
1290,MANSFIELD-TX.GOV,City,Non-Federal Agency,Mansfield,TX
1293,MANSFIELDTEXAS.GOV,City,Non-Federal Agency,Mansfield,TX
