,Domain Name,Domain Type,Agency,City,State
1815,SAGHARBORNY.GOV,City,Non-Federal Agency,Sag Harbor,NY
1839,SARANACLAKENY.GOV,City,Non-Federal Agency,Saranac Lake,NY
1842,SAUGERTIESNY.GOV,City,Non-Federal Agency,Saugerties,NY
1848,SCHENECTADYNY.GOV,City,Non-Federal Agency,Schenectady,NY
1856,SEACLIFF-NY.GOV,City,Non-Federal Agency,Sea Cliff,NY
1892,SLEEPYHOLLOWNY.GOV,City,Non-Federal Agency,Sleepy Hollow,NY
1897,SMITHTOWNNY.GOV,City,Non-Federal Agency,Smithtown,NY
1915,SOUTHAMPTONTOWNNY.GOV,City,Non-Federal Agency,Southampton,NY
1921,SOUTHEAST-NY.GOV,City,Non-Federal Agency,BREWSTER,NY
1925,SOUTHOLDTOWNNY.GOV,City,Non-Federal Agency,Southold,NY
2035,TOWNOFBETHLEHEM-NY.GOV,City,Non-Federal Agency,Delmar,NY
2041,TOWNOFCATSKILLNY.GOV,City,Non-Federal Agency,Catskill,NY
2044,TOWNOFHALFMOON-NY.GOV,City,Non-Federal Agency,Halfmoon,NY
2048,TOWNOFHOUNSFIELD-NY.GOV,City,Non-Federal Agency,Watertown,NY
2050,TOWNOFISLIP-NY.GOV,City,Non-Federal Agency,Islip,NY
2051,TOWNOFKEENENY.GOV,City,Non-Federal Agency,Keene,NY
2052,TOWNOFKENTNY.GOV,City,Non-Federal Agency,Kent Lakes,NY
2059,TOWNOFNORTHEASTNY.GOV,City,Non-Federal Agency,Millerton,NY
2061,TOWNOFOYSTERBAY-NY.GOV,City,Non-Federal Agency,Oyster Bay,NY
2062,TOWNOFPALERMONY.GOV,City,Non-Federal Agency,FULTON,NY
2064,TOWNOFPOUGHKEEPSIE-NY.GOV,City,Non-Federal Agency,POUGHKEEPSIE,NY
2065,TOWNOFRAMAPO-NY.GOV,City,Non-Federal Agency,Suffern,NY
2066,TOWNOFRIVERHEADNY.GOV,City,Non-Federal Agency,Riverhead,NY
2076,TOWNOFWALWORTHNY.GOV,City,Non-Federal Agency,Walworth,NY
2079,TOWNOFWILLSBORONY.GOV,City,Non-Federal Agency,Willsboro,NY
2092,TROYNY.GOV,City,Non-Federal Agency,Troy,NY
2094,TRUMANSBURG-NY.GOV,City,Non-Federal Agency,Trumansburg,NY
2105,TUPPERLAKENY.GOV,City,Non-Federal Agency,Tupper Lake,NY
2110,TUXEDOPARK-NY.GOV,City,Non-Federal Agency,Sloatsburg,NY
2148,VILLAGEOFBABYLONNY.GOV,City,Non-Federal Agency,Babylon,NY
2149,VILLAGEOFCAMILLUS-NY.GOV,City,Non-Federal Agency,CAMILLUS,NY
2152,VILLAGEOFGOSHEN-NY.GOV,City,Non-Federal Agency,Goshen,NY
2153,VILLAGEOFGOUVERNEURNY.GOV,City,Non-Federal Agency,Gouverneur,NY
2154,VILLAGEOFHEMPSTEADNY.GOV,City,Non-Federal Agency,Hemsptead,NY
2155,VILLAGEOFKENSINGTONNY.GOV,City,Non-Federal Agency,Great Neck,NY
2156,VILLAGEOFLINDENHURSTNY.GOV,City,Non-Federal Agency,Lindenhurst,NY
2157,VILLAGEOFMAMARONECKNY.GOV,City,Non-Federal Agency,Mamaroneck,NY
2164,VILLAGEOFPHOENIX-NY.GOV,City,Non-Federal Agency,Phoenix,NY
2166,VILLAGEOFQUOGUENY.GOV,City,Non-Federal Agency,Quogue,NY
2167,VILLAGEOFRHINEBECKNY.GOV,City,Non-Federal Agency,Rhinebeck,NY
2168,VILLAGEOFSCOTIANY.GOV,City,Non-Federal Agency,Scotia,NY
2187,WAPPINGERSFALLSNY.GOV,City,Non-Federal Agency,Wappingers Falls,NY
2199,WASHINGTONVILLE-NY.GOV,City,Non-Federal Agency,Washingtonville,NY
2206,WATERTOWN-NY.GOV,City,Non-Federal Agency,Watertown,NY
2266,WHITEPLAINSNY.GOV,City,Non-Federal Agency,White Plains,NY
2321,YONKERSNY.GOV,City,Non-Federal Agency,Yonkers,NY
